symbol,token,name
NAHARSPING,14440,NAHARSPING
NAHARPOLY,14445,NAHARPOLY
GVPTECH,10865,GVPTECH
SIRCA,11050,SIRCA
NSIL,11239,NSIL
JSL,11236,JSL
ZOTA,11394,ZOTA
POONAWALLA,11403,POONAWALLA
DATAMATICS,11423,DATAMATICS
TEXINFRA,11549,TEXINFRA
FORCEMOT,11573,FORCEMOT
INDSWFTLTD,11602,INDSWFTLTD
GULFPETRO,11581,GULFPETRO
PPLPHARMA,11571,PPLPHARMA
XCHANGING,11705,XCHANGING
IIFL,11809,IIFL
NECLIFE,11927,NECLIFE
YESBANK,11915,YESBANK
MANINDS,11884,MANINDS
IMPAL,12009,IMPAL
FCSSOFT,11999,FCSSOFT
SASKEN,11983,SASKEN
SCPL,12072,SCPL
RUSTOMJEE,12219,RUSTOMJEE
PRECAM,12603,PRECAM
AMBUJACEM,1270,AMBUJACEM
GUJALKALI,1267,GUJALKALI
SCHAEFFLER,1011,SCHAEFFLER
KAYA,10276,KAYA
AURUM,10310,AURUM
STEELCITY,10406,STEELCITY
KSHITIJPOL,10407,KSHITIJPOL
SHARDAMOTR,10530,SHARDAMOTR
HDFCNIF100,10633,HDFCNIF100
HDFCSILVER,10876,HDFCSILVER
MARUTI,10999,MARUTI
LIQUIDBEES,11006,LIQUIDBEES
GARFIBRES,1100,GARFIBRES
HDFCQUAL,11255,HDFCQUAL
GHCL,1127,GHCL
TVSELECT,11265,TVSELECT
MUKANDLTD,11325,MUKANDLTD
GTECJAINX,1129,GTECJAINX
UPL,11287,UPL
PTC,11355,PTC
EXCELINDUS,11471,EXCELINDUS
GLAXO,1153,GLAXO
HDFCNIFTY,11591,HDFCNIFTY
GUFICBIO,11606,GUFICBIO
WESTLIFE,11580,WESTLIFE
ALKEM,11703,ALKEM
JINDALPHOT,11743,JINDALPHOT
AMBER,1185,AMBER
JKPAPER,11860,JKPAPER
ESG,1200,ESG
RENUKA,12026,RENUKA
MBAPL,12686,MBAPL
V1NSETEST,12863,V1NSETEST
DHARMAJ,13001,DHARMAJ
SILVER1,13082,SILVER1
HARRMALAYA,1313,HARRMALAYA
EBBETF0433,13139,EBBETF0433
NITINSPIN,13175,NITINSPIN
LANDMARK,13276,LANDMARK
MARINE,1328,MARINE
HEG,1336,HEG
SDBL,1338,SDBL
KELLTONTEC,13430,KELLTONTEC
GPIL,13409,GPIL
JKLAKSHMI,13491,JKLAKSHMI
BALPHARMA,13441,BALPHARMA
ACE,13587,ACE
ANDHRSUGAR,136,ANDHRSUGAR
SHIVAMAUTO,13756,SHIVAMAUTO
BAIDFIN,13794,BAIDFIN
DONEAR,13839,DONEAR
MMFL,13844,MMFL
HINDPETRO,1406,HINDPETRO
NINSYS,14194,NINSYS
NETWORK18,14111,NETWORK18
GANDHITUBE,14116,GANDHITUBE
HDFCMID150,14236,HDFCMID150
ORIENTALTL,14346,ORIENTALTL
APOLLOPIPE,14361,APOLLOPIPE
POCL,14385,POCL
EMAMIPAP,10074,EMAMIPAP
AARON,1030,AARON
FEDERALBNK,1023,FEDERALBNK
RAMASTEEL,10300,RAMASTEEL
SHAREINDIA,104,SHAREINDIA
OLECTRA,10637,OLECTRA
OFSS,10738,OFSS
INDIAMART,10726,INDIAMART
MOVALUE,10825,MOVALUE
MOVALUINAV,10831,MOVALUINAV
DREAMFOLKS,10859,DREAMFOLKS
BANKIETF,11037,BANKIETF
DCMNVL,11039,DCMNVL
NATHBIOGEN,11065,NATHBIOGEN
AGRITECH,11072,AGRITECH
AXISILVER,11193,AXISILVER
INDIGO,11195,INDIGO
DREDGECORP,11271,DREDGECORP
PETRONET,11351,PETRONET
XPROINDIA,11407,XPROINDIA
APARINDS,11491,APARINDS
LT,11483,LT
HDFCMOMENT,11538,HDFCMOMENT
CENTEXT,11511,CENTEXT
KOTARISUG,11647,KOTARISUG
ACEINTEG,11779,ACEINTEG
SHOPERSTOP,11813,SHOPERSTOP
OCCL,12231,OCCL
ZIMLAB,12384,ZIMLAB
DJML,12749,DJML
G1NSETEST,12842,G1NSETEST
360ONE,13061,360ONE
RSYSTEMS,13414,RSYSTEMS
ELIN,13423,ELIN
TECHM,13538,TECHM
JMFINANCIL,13637,JMFINANCIL
ALICON,13656,ALICON
GEECEE,13658,GEECEE
MANOMAY,13753,MANOMAY
VENUSREM,13859,VENUSREM
LIQUID1,13950,LIQUID1
ABSLBANETF,13987,ABSLBANETF
SANGHVIMOV,14058,SANGHVIMOV
UNOMINDA,14154,UNOMINDA
HDFCBSE500,14230,HDFCBSE500
NSLNISP,14180,NSLNISP
INDIANB,14309,INDIANB
HSCL,14334,HSCL
GOKULAGRO,14480,GOKULAGRO
THEMISMED,14485,THEMISMED
HLVLTD,1448,HLVLTD
ABSLLIQUID,14518,ABSLLIQUID
SARVESHWAR,12913,SARVESHWAR
GSEC10IETF,13143,GSEC10IETF
JAGRAN,13211,JAGRAN
BLKASHYAP,13290,BLKASHYAP
KEI,13310,KEI
IEL,13303,IEL
HCL-INSYS,1327,HCL-INSYS
SUNTV,13404,SUNTV
HEROMOTOCO,1348,HEROMOTOCO
GRINDWELL,13560,GRINDWELL
ATLANTAA,13585,ATLANTAA
IRCTC,13611,IRCTC
TALBROAUTO,13648,TALBROAUTO
INFOMEDIA,13693,INFOMEDIA
HCC,1375,HCC
PARSVNATH,13791,PARSVNATH
MANALIPETC,13796,MANALIPETC
CREST,13900,CREST
AARTIPHARM,13868,AARTIPHARM
PLASTIBLEN,13920,PLASTIBLEN
HBLENGINE,13966,HBLENGINE
ORIENTBELL,14278,ORIENTBELL
PFC,14299,PFC
PHOENIXLTD,14552,PHOENIXLTD
GSLSU,14599,GSLSU
INSECTICID,14657,INSECTICID
101NSETEST,14772,101NSETEST
141NSETEST,14781,141NSETEST
LOWVOL,14786,LOWVOL
DECCANCE,14838,DECCANCE
MOTILALOFS,14947,MOTILALOFS
SAHYADRI,14900,SAHYADRI
PSUBNKBEES,15032,PSUBNKBEES
MADHAV,15151,MADHAV
INDIANHUME,1530,INDIANHUME
SHALPAINTS,15342,SHALPAINTS
RAIN,15337,RAIN
SEPC,15308,SEPC
VGUARD,15362,VGUARD
RECLTD,15355,RECLTD
DPSCLTD,15419,DPSCLTD
MANKIND,15380,MANKIND
GODHA,1607,GODHA
ARCHIDPLY,16795,ARCHIDPLY
LOTUSEYE,16807,LOTUSEYE
JOCIL,16927,JOCIL
ALBERTDAVD,17256,ALBERTDAVD
BLS,17279,BLS
NHPC,17400,NHPC
NETWEB,17433,NETWEB
GPTINFRA,17685,GPTINFRA
KANPRPLA,1782,KANPRPLA
LTIM,17818,LTIM
AHLUCONT,17833,AHLUCONT
DLINKINDIA,17851,DLINKINDIA
ABBOTINDIA,17903,ABBOTINDIA
AWHCL,1797,AWHCL
TVSSCS,18151,TVSSCS
MANINFRA,18226,MANINFRA
KECL,18220,KECL
HNGSNGBEES,18284,HNGSNGBEES
LGBBROSLTD,18321,LGBBROSLTD
BIGBLOC,18431,BIGBLOC
RBLBANK,18391,RBLBANK
LAURUSLABS,19234,LAURUSLABS
KOPRAN,1919,KOPRAN
MONIFTY500,19237,MONIFTY500
AHLEAST,19438,AHLEAST
BOROLTD,19401,BOROLTD
UGARSUGAR,19578,UGARSUGAR
BSE,19585,BSE
AMNPLST,19867,AMNPLST
EGOLD,19933,EGOLD
ESAFSFB,19878,ESAFSFB
INTENTECH,20071,INTENTECH
URJA,20203,URJA
OBEROIRLTY,20242,OBEROIRLTY
IOLCP,20413,IOLCP
HOMEFIRST,2056,HOMEFIRST
INDIASHLTR,20556,INDIASHLTR
JAMNAAUTO,20778,JAMNAAUTO
PSPPROJECT,20877,PSPPROJECT
BFINVEST,21113,BFINVEST
KICL,21119,KICL
